URL,Manufacturer,ASIN,Product details
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzIyNzEyODIyODQzNTk5OjE2OTI4MDg0Njg6c3BfYXRmOjIwMDYzNzg0NDU4Mzk4OjowOjo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692808468%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,AcefourAccessoriesPvt Ltd,B0B69M182Q,  Care Instructions: Hand Wash Only    Handcrafted with care and made up of premium quality robust material   
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzIyNzEyODIyODQzNTk5OjE2OTI4MDg0Njg6c3BfYXRmOjMwMDAwNTkxNzkwODkzMjo6MDo6&url=%2Fuppercase-Backpack-1800EBP2-resistant-sustainable%2Fdp%2FB0BQYJ8WP5%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692808468%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,AcefourAccessoriesPvt Ltd,B0BQYJ8WP5,"  Care Instructions: Wipe with Damp Cloth    Handcrafted with care and made up of premium quality robust material    Padded laptop compartment fits up to 15.6"" laptop, Front Access pocket & Back padding with Air mesh    Compact yet spacious; Wrinkle free bag and 3x more water resistant with Rainproof zippers    Right sized with sturdy stitching; Dimension: (33.5 cm x 16.5 cm x 44.5 cm); Warranty: 750 days international warranty    GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)   "
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-3,VIPIndustriesLtd,Not found,"  Care Instructions: Hand Wash Only    Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,    Water Resistance Level: Not Water Resistant    Size: 35 x 13 x 46 cms   "
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-4,VIPIndustriesLtd,Not found,"  Laptop Compatibility: No, Strap Type: Adjustable, Trolley Support: No. With Rain Cover : No    Outer Material: Polyester, Color: Black    Water Resistance: Water resistant , not Waterproof    Capacity: 32 liters; Dimensions: 31.5 x 22 x 49.5 Centimeters    Number of Wheels: 0, Number of compartments: 3    Warranty type: Manufacturer; 1 year International warranty valid for 1 year from the original date of    Mesh pockets on both sides to accommodate your sipper or bottle and umbrella    Mesh Padding on back & shoulder strap to provide comfort & better back support   "
https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692808468&sprefix=ba%2Caps%2C283&sr=8-5,AmazingBags,B09VCLZ3K4,"  This lightweight and spacious laptop bag with 3 compartments contains a dedicated 360 degree protected laptop compartment (up to 17""), so you can you can transport your tech with peace of mind. A Spacious second compartment for essentials like books and files, and a third compartment for extra items. Also features padded shoulder straps and side pockets for water bottles.    Carry your books and belongings with ease with this comfortable and durable bagpack! Featuring wide, padded, and adjustable shoulder straps and a padded back, this backpack can handle even heavy loads. Made with strong yet lightweight polyester fabric and heavy-duty zippers, it's built to last. Plus, it comes with a rain cover, perfect for those rainy school or college days.    Make a statement on your next trip with our smart and stylish backpack! With a trendy and athletic design, this multipurpose backpack is the perfect combination of style and adventure. Your trips, travel experience cannot get completed without this amazing trekking backpack.    Experience enduring and long-lasting performance with our backpack! Made with highly durable material, this backpack is suitable for all weather conditions, including heavy rains and extreme heat. It not only keeps your belongings safe but also resists damage to itself. So, don't settle for anything less.    FEATURES: Rain Cover, upto 17 inch Laptop compartment, Internal Organiser(Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps) , 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc   "
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODQ4NTY2OTY5NzI5NTk5OjE2OTI4MDg0Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUyNzQwNjAwOTk4OjowOjo&url=%2FRed-Lemon-Ironlook-Briefcase-Anti-Theft%2Fdp%2FB09ZYQJHXR%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09ZYQJHXR%26pd_rd_r%3D68fda520-c3a5-4d19-a28a-39dd56a69b81%26pd_rd_w%3DiebXz%26pd_rd_wg%3DdNZj1%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D5V16JDRGD8KRZ5MA9PX6%26qid%3D1692808468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,EnconImpexPvtLtd,B09ZYQJHXR,"  Care Instructions: Hand Wash Only    ? PREMIUM MATERIAL: Made from high quality, waterproof hard EVA material. Premium quality smooth zippers, pullers, buckles.;Special Features: Locking; Style Name: Modern<br>    ? ORGANISED DESIGN: This backpack has one roomy spaced compartment with built in soft padded sleeve to protect laptops upto 16 inch. Separate sleeve for tablet/ Ipad. Spacious enough to hold your clothings, folders, documents etc. Also includes organised pockets to hold electronic diary, power bank, pens. mobile etc. Soft handle for better comfort. Adjustable and padded shoulder straps make it comfortable during use.<br>    ? ANTI- THEFT DESIGN & CAPACITY: One hidden zipper pocket equips on the back to pack your money, cards, wallet. This invisible design increases the security of your belongings. Dimensions: 30 cms x 8 cms x 45 cms (LxWxH). Capacity: 11 Lit<br>    ? USB FEATURE & TSA LOCK : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices. This backpack comes with a built-in TSA lock that gives the bag an added level of security. Helps deter thefts during travel.; ? TROLLEY STRAP : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling.; Age Range Description: Adult; Pattern Name: Solid; Theme: Sports<br>    Impact-resistant design. ID pouch, Mobile phone pouch. Zipper hidden pouch, Laptop slot, and Tablet slot. USB Charging slot on the outside. Shape-retaining construction. Water-resistant fabric. Premium leather zipper pulls. Top carry handle with leather grip. Air mesh back padding. Adjustable padded shoulder straps with metallic buckle and leather accents.<br>   "
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODQ4NTY2OTY5NzI5NTk5OjE2OTI4MDg0Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzOTYyNDIxNDk4OjoxOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0C28QQMFJ%26pd_rd_r%3D68fda520-c3a5-4d19-a28a-39dd56a69b81%26pd_rd_w%3DiebXz%26pd_rd_wg%3DdNZj1%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D5V16JDRGD8KRZ5MA9PX6%26qid%3D1692808468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,FurJaden,B0C28QQMFJ,"  Care Instructions: Wipe with Damp Cloth    Fur Jaden Pro Series: Introducing our most premium, stylish and functional range of travel accessories. We craft signature pieces that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication.    Smart Anti-Theft Tech Backpack: Fur Jaden Pro V comes with an in-built USB Type-A and USB Type-C reversible charging port system to facilitiate safe and quick charging on the go. With reversible charging, charge the powerbank directly without having to remove it from your bag. Anti-Theft: This smart tech backpack comes with an anti-theft pocket on the back to store valuable documents, wallets, keys and other smaller essentials while travelling.    Multi Utility Compartments: Unique Barrel styled front compartment is spacious to house t-shirts and denims for a short weekend getaway. It also features a small utility pocket to hold wallets/ cardholders/keys. On the back, a 180 Degree openable padded compartment to store tablets/ kindle devices and laptops upto 15.6 Inches.    Innovative Design: Handcrafted with precision, this uniqely designed structured laptop backpack features two quick access front pockets to hold small accessories plus an additional side pocket to house the power bank which can also be used to store a 500ml water bottle.    Warranty: 1 Year Manufacturer Warranty Against Defects. Product Dimensions: 48 cm (H) x 30 cm (W) x 15 cm (D). Storage Volume: 22L.   "
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODQ4NTY2OTY5NzI5NTk5OjE2OTI4MDg0Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUyNzQwNjAwMDk4OjoyOjo&url=%2FRed-Lemon-Backpack-Business-Commuter%2Fdp%2FB0B9WXXN8D%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B9WXXN8D%26pd_rd_r%3D68fda520-c3a5-4d19-a28a-39dd56a69b81%26pd_rd_w%3DiebXz%26pd_rd_wg%3DdNZj1%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D5V16JDRGD8KRZ5MA9PX6%26qid%3D1692808468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,EnconImpexPvtLtd,B0B9WXXN8D,"  Care Instructions: Hand Wash Only    BIG COMPARTMENTS FOR LAPTOP AND IPAD: Big room for 15.6 inch laptop and two compartments can hold your 7.9 inch Ipad. It is convenient for you to travel in business. Soft flannel compartment protects your laptop and it can reduce the friction between the backpack and the computer.    SLIM&EXPANDABLE BACKPACK:There are two modes for use. For the daily mode, it is very slim only 3inch, and you can carry as office work backpack, school bag, causal daypack. For the expandable mode, you can open the zipper to expand at least 3.6 inch, and it meet your camping, hiking and overnight trip.    BREATHABLE MESH BACK AND COMFORTABLE CARRYING ON: The breathable mesh shoulder straps with plentiful sponge pad and the chest belt makes the shoulder straps to fix on your shoulder firmly, so do not worry about the straps slipping down and hurt your shoulder by heavy bag.    FLIGHT TRAVELING Backpacks: There is a sturdy luggage strap, you can tight it when you are travel for international business.    CLASSIC DESIGN - It is a unisex backpack and can be used by both men and women for carrying to workplaces,schools, trips or other occasions.   "
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODQ4NTY2OTY5NzI5NTk5OjE2OTI4MDg0Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUyNzQwNjAwMzk4OjozOjo&url=%2FRed-Lemon-Stylish-Backpack-Charging%2Fdp%2FB09WYVNW46%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09WYVNW46%26pd_rd_r%3D68fda520-c3a5-4d19-a28a-39dd56a69b81%26pd_rd_w%3DiebXz%26pd_rd_wg%3DdNZj1%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D5V16JDRGD8KRZ5MA9PX6%26qid%3D1692808468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,EnconImpexPvtLtd,B09WYVNW46,"  ?LARGE CAPACITY AND ORGANIZED?Separate laptop compartment hold 15.6 Inch Laptop as well as 15 Inch,14 Inch and 13 Inch Macbook/Laptop. Spacious packing compartment for daily Luch box and clothing.Third compartment with many small pockets for necessities,electronics ,pen and key fob hook, make your items organized and easier to find. Front compartment with many pockets, front zipper pocket for the ID card, Sanitizer,masks.<br>    ?High Quality Material & Lightweight? Constructed with durable 1200D Grid polyester material with YKK Brand with metal zippers ,Ensure a secure & long-lasting usage everyday & weekend. Laptop cushion is Made by high density EVA material ,much more shockproof,much better to protect your laptop.<br>    ?CARRY IN COMFORT ?Arctic Hunter Backpack designed for comfortable all-day carrying with back padding made of breathable mesh and foam to keep you cool, and comfortable and breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with pocket design, can hang sunglasses & a web haul handle Ideal for work, high school, college, university, travelling, hiking, cycling or camping.;Age Range Description: Adult<br>    Functionality – a USB port with a cable, a pocket for a power bank, a side pocket for a bottle or umbrella, a special strap for attaching to a suitcase handle, a hidden zippered pocket on the back and a convenient carry handle.<br>    ?Others Features ?E-Umbrella Pocket and water bottle Pocket designed left/right side, Bag comes in a variety of colors to reflect your style & needs. Can be served as travel Bag, hand luggage, laptop bag, business backpack, laptop rucksack, school backpack , bike backpack, professional laptop bagpack for notebook, good for outdoor hiking, casual travel, campus for boys and girls. Ideal gifts for dad / mother / teacher as birthday gift, for friend as friendship gift.<br>   "
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0ODQ4NTY2OTY5NzI5NTk5OjE2OTI4MDg0Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6NDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%253Aamzn1.sym.5c2af76f-28ad-42b0-80ba-b318af0af39f%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3D68fda520-c3a5-4d19-a28a-39dd56a69b81%26pd_rd_w%3DiebXz%26pd_rd_wg%3DdNZj1%26pf_rd_p%3D5c2af76f-28ad-42b0-80ba-b318af0af39f%26pf_rd_r%3D5V16JDRGD8KRZ5MA9PX6%26qid%3D1692808468%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-57f7ded0-ad23-4d3a-8b1d-eb8cdd1b0fe5-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Not found,B09CQ5T3LN,  Care Instructions: Hand Wash Only    Backpack   
